Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,Higher_Education,Year_of_Hire,Date_of_termination,Status_of_leaving,Mode_of_work,Leaves,Absenteeism,Work_accident,Source_of_Hire,Job_mode
38,no,Travel_Rarely,Research & Development,4,Female,3,1,LT,3,Married,3306,7,no,19,3,1,7,5,0,0,0,Post-Graduation,2021,,Dept.Head,OFFICE,2,3,yes,Walk-in,FullTime
32,yes,Travel_Rarely,Sales,1,Male,1,2,SE,2,Single,6735,6,no,15,3,0,10,2,0,0,0,PHD,2021,,Work Environment,WFH,1,1,yes,Recruiter,FullTime
33,yes,Travel_Rarely,Sales,16,Female,3,3,SE,1,Single,8564,2,yes,20,4,0,11,2,0,0,0,Post-Graduation,2021,,Salary,OFFICE,5,1,no,Recruiter,Contract
42,no,Travel_Rarely,Research & Development,13,Male,4,2,HCR,1,Married,5538,5,no,18,3,2,10,2,0,0,0,Post-Graduation,2021,,Work Accident,WFH,3,0,yes,Job Event,Contract
18,no,Non-Travel,Research & Development,14,Female,3,1,RS,3,Single,1514,1,no,16,3,0,0,4,0,0,0,Graduation,2021,,Work Environment,WFH,4,3,no,Walk-in,Contract
32,no,Travel_Frequently,Sales,10,Male,3,2,SE,4,Single,4648,8,no,13,3,0,4,2,0,0,0,Post-Graduation,2021,,Work Environment,OFFICE,3,3,yes,Walk-in,Contract
42,no,Travel_Rarely,Research & Development,8,Male,3,1,LT,3,Single,3968,4,no,13,3,0,8,3,0,0,0,Graduation,2021,,Better Opportunity,OFFICE,5,1,no,Job Portal,FullTime
56,no,Travel_Rarely,Sales,11,Female,2,2,SE,1,Married,5380,4,no,16,3,1,6,3,0,0,0,PHD,2021,,Better Opportunity,OFFICE,5,0,yes,Recruiter,Contract
42,no,Travel_Rarely,Sales,12,Male,3,2,SE,4,Divorced,5087,3,yes,12,3,2,14,4,0,0,0,PHD,2021,,Work Environment,OFFICE,1,2,no,Recruiter,Part Time
59,no,Travel_Rarely,Research & Development,3,Female,4,1,LT,1,Married,2670,4,yes,20,4,3,12,3,1,0,0,Post-Graduation,2020,,Work Accident,OFFICE,2,1,yes,Job Event,Contract
30,no,Travel_Rarely,Research & Development,24,Male,3,1,LT,3,Divorced,2693,1,no,22,4,1,1,2,1,0,0,Graduation,2020,,Work Accident,WFH,2,3,no,Walk-in,Part Time
22,no,Non-Travel,Research & Development,16,Male,4,1,LT,4,Divorced,2935,1,yes,13,3,2,1,2,1,0,0,PHD,2020,,Salary,OFFICE,0,0,yes,Walk-in,Contract
33,no,Travel_Rarely,Research & Development,2,Male,3,1,LT,4,Single,2496,4,no,11,3,0,7,3,1,0,0,PHD,2020,,Work Environment,OFFICE,1,0,yes,Job Event,Contract
39,yes,Travel_Rarely,Sales,5,Male,3,2,SRep,4,Married,2086,3,no,14,3,1,19,6,1,0,0,Post-Graduation,2020,,Dept.Head,OFFICE,5,0,no,Recruiter,Contract
36,no,Travel_Rarely,Research & Development,5,Female,2,1,RS,1,Married,3419,9,yes,14,3,1,6,3,1,0,0,Graduation,2020,,Work Environment,OFFICE,4,2,no,Recruiter,Part Time
35,no,Travel_Rarely,Research & Development,4,Male,3,1,LT,4,Divorced,1951,1,no,12,3,1,1,3,1,0,0,Graduation,2020,,Better Opportunity,WFH,0,3,no,Job Portal,FullTime
27,no,Travel_Rarely,Research & Development,2,Female,3,1,LT,1,Divorced,2341,1,no,13,3,1,1,6,1,0,0,12th,2020,,Better Opportunity,OFFICE,5,0,no,Job Event,Part Time
26,yes,Travel_Rarely,Research & Development,25,Male,1,1,LT,3,Single,2293,1,no,12,3,0,1,2,1,0,1,Post-Graduation,2020,,Dept.Head,WFH,4,3,no,Job Portal,Part Time
37,no,Travel_Rarely,Research & Development,19,Male,3,1,RS,2,Married,3022,4,no,21,4,0,8,1,1,0,0,PHD,2020,,Work Environment,WFH,5,1,no,Job Event,Part Time
35,no,Travel_Rarely,Research & Development,8,Male,4,1,LT,4,Married,2269,1,no,19,3,0,1,2,1,0,1,PHD,2020,,Salary,OFFICE,2,2,yes,Walk-in,FullTime
48,yes,Travel_Rarely,Research & Development,1,Male,2,3,LT,3,Single,5381,9,yes,13,3,0,23,2,1,0,0,Graduation,2020,,Work Accident,OFFICE,4,2,no,Recruiter,Contract
45,no,Travel_Rarely,Research & Development,7,Male,3,3,RS,1,Divorced,9724,2,no,17,3,1,25,2,1,0,0,Graduation,2020,,Work Environment,OFFICE,5,0,no,Job Portal,Part Time
36,yes,Travel_Rarely,Research & Development,9,Male,2,1,RS,3,Married,3388,0,yes,17,3,1,2,0,1,0,0,Post-Graduation,2020,,Work Accident,WFH,4,3,yes,Job Event,FullTime
31,no,Travel_Rarely,Research & Development,1,Male,3,1,RS,2,Single,2501,1,no,17,3,0,1,4,1,1,0,Graduation,2020,,Salary,WFH,0,3,no,Recruiter,Contract
36,no,Travel_Rarely,Research & Development,6,Female,4,1,LT,4,Married,3038,3,no,12,3,0,5,3,1,0,0,12th,2020,,Dept.Head,OFFICE,3,1,yes,Walk-in,Contract
55,no,Travel_Rarely,Sales,1,Male,3,3,SE,4,Married,10239,3,no,14,3,1,24,4,1,1,0,PHD,2020,,Work Environment,WFH,0,2,no,Job Portal,FullTime
32,no,Travel_Rarely,Research & Development,1,Male,3,1,RS,1,Single,2956,1,no,13,3,0,1,2,1,0,0,12th,2020,,Salary,WFH,4,1,yes,Job Portal,FullTime
20,yes,Travel_Frequently,Research & Development,6,Female,2,1,LT,4,Single,2926,1,yes,18,3,0,1,5,1,1,0,Graduation,2020,,Dept.Head,WFH,3,3,no,Recruiter,Contract
37,no,Non-Travel,Research & Development,2,Male,2,2,HCR,4,Divorced,5163,5,no,14,3,1,17,2,1,0,0,12th,2020,,Work Environment,WFH,3,0,no,Recruiter,Contract
34,no,Travel_Rarely,Research & Development,6,Female,2,2,RS,2,Divorced,4505,6,no,15,3,1,12,3,1,0,0,12th,2020,,Salary,WFH,5,2,yes,Job Portal,Contract
36,no,Travel_Rarely,Research & Development,3,Female,3,1,LT,4,Divorced,2835,5,no,22,4,1,7,2,1,0,0,Graduation,2020,,Salary,OFFICE,5,2,no,Job Event,FullTime
19,no,Travel_Rarely,Research & Development,3,Female,3,1,LT,2,Single,1483,1,no,14,3,0,1,3,1,0,0,12th,2020,,Work Accident,OFFICE,0,0,no,Job Event,FullTime
51,no,Travel_Rarely,Research & Development,7,Male,2,2,MD,3,Married,6132,2,no,17,3,0,10,2,1,0,0,Post-Graduation,2020,,Work Environment,WFH,1,1,yes,Job Event,Contract
58,no,Travel_Rarely,Research & Development,9,Female,2,1,RS,2,Married,3346,4,yes,20,4,1,9,3,1,0,0,Graduation,2020,,Work Accident,WFH,3,0,no,Job Event,Contract
27,no,Non-Travel,Research & Development,3,Male,2,1,RS,3,Divorced,2566,1,yes,15,3,1,1,2,1,0,1,Post-Graduation,2020,,Work Environment,WFH,5,1,yes,Job Event,Contract
19,yes,Travel_Rarely,Research & Development,2,Male,2,1,LT,4,Single,1102,1,no,22,4,0,1,3,1,1,0,Post-Graduation,2020,,Work Environment,OFFICE,0,1,no,Job Portal,Contract
35,yes,Travel_Rarely,Research & Development,23,Male,2,2,MD,3,Married,5916,3,yes,13,3,0,8,1,1,0,1,PHD,2020,,Salary,WFH,0,0,yes,Recruiter,FullTime
38,no,Travel_Rarely,Research & Development,2,Male,3,2,MD,3,Married,6553,9,no,14,3,0,14,3,1,0,0,Post-Graduation,2020,,Better Opportunity,OFFICE,3,2,yes,Job Event,FullTime
38,yes,Travel_Rarely,Research & Development,29,Male,3,2,HCR,1,Married,6673,7,yes,19,3,0,17,2,1,0,0,Post-Graduation,2020,,Better Opportunity,OFFICE,3,2,no,Recruiter,Part Time
41,no,Travel_Rarely,Sales,6,Female,3,3,Mngr,4,Single,13591,3,yes,18,3,0,16,3,1,0,0,PHD,2020,,Work Accident,WFH,5,1,yes,Walk-in,Part Time
59,no,Travel_Rarely,Research & Development,3,Male,2,1,RS,4,Married,2177,3,no,17,3,1,7,6,1,0,0,PHD,2020,,Dept.Head,OFFICE,4,1,yes,Recruiter,Contract
41,no,Travel_Rarely,Research & Development,19,Male,3,2,RS,1,Divorced,3072,2,no,16,3,2,17,2,1,0,0,Graduation,2020,,Dept.Head,WFH,0,1,yes,Job Event,Part Time
37,yes,Travel_Frequently,Research & Development,10,Male,3,3,MD,3,Divorced,10048,6,no,11,3,2,17,5,1,0,0,Graduation,2020,,Salary,WFH,0,1,yes,Recruiter,Part Time
51,no,Travel_Rarely,Research & Development,1,Male,3,1,RS,4,Married,2723,1,no,11,3,0,1,0,1,0,0,12th,2020,,Better Opportunity,WFH,2,1,yes,Recruiter,Part Time
44,yes,Travel_Frequently,Research & Development,24,Male,3,1,LT,3,Divorced,3161,3,yes,22,4,1,19,0,1,0,0,Post-Graduation,2020,,Work Accident,OFFICE,0,2,no,Recruiter,Contract
36,no,Travel_Frequently,Research & Development,18,Male,4,1,LT,4,Married,3688,4,no,18,3,2,4,2,1,0,0,12th,2020,,Better Opportunity,OFFICE,4,0,no,Recruiter,FullTime
39,yes,Travel_Rarely,Sales,3,Female,3,2,SE,3,Married,5238,4,yes,18,3,0,12,3,1,0,0,PHD,2020,,Work Accident,OFFICE,0,1,yes,Job Event,FullTime
43,no,Travel_Rarely,Research & Development,7,Female,3,3,HCR,1,Married,9985,8,no,16,3,1,10,1,1,0,0,Graduation,2020,,Dept.Head,WFH,1,3,no,Recruiter,FullTime
42,no,Travel_Rarely,Research & Development,23,Female,3,4,RD,4,Single,15992,2,no,14,3,0,16,2,1,0,0,Graduation,2020,,Work Accident,WFH,1,0,no,Job Event,FullTime
42,no,Travel_Rarely,Research & Development,2,Male,2,2,HCR,4,Single,6781,3,no,23,4,0,14,6,1,0,0,12th,2020,,Work Accident,WFH,3,0,yes,Job Event,Contract
36,no,Non-Travel,Sales,1,Female,3,2,SE,4,Single,6653,4,no,15,3,0,7,6,1,0,0,Post-Graduation,2020,,Work Environment,WFH,3,0,no,Recruiter,Contract
33,yes,Travel_Rarely,Sales,5,Female,3,1,SRep,3,Single,2851,1,yes,13,3,0,1,2,1,0,0,PHD,2020,,Work Environment,OFFICE,0,1,no,Recruiter,Contract
46,no,Non-Travel,Research & Development,7,Female,3,2,MD,3,Married,5258,2,no,14,3,0,7,2,1,0,0,Graduation,2020,,Better Opportunity,WFH,1,3,no,Walk-in,Contract
21,yes,Travel_Rarely,Sales,12,Female,4,1,SRep,2,Single,2716,1,no,15,3,0,1,0,1,0,0,12th,2020,,Salary,WFH,1,1,yes,Recruiter,Part Time
35,no,Travel_Rarely,Research & Development,9,Male,2,2,HCR,2,Single,6540,9,no,19,3,0,10,5,1,0,0,Post-Graduation,2020,,Work Accident,OFFICE,1,2,no,Job Event,FullTime
30,no,Travel_Rarely,Sales,2,Male,3,1,SRep,2,Married,2476,1,no,18,3,1,1,3,1,0,0,PHD,2020,,Dept.Head,WFH,4,2,no,Job Event,FullTime
30,yes,Travel_Frequently,Research & Development,4,Male,3,1,RS,4,Single,2285,9,yes,23,4,0,3,4,1,0,0,12th,2020,,Work Accident,WFH,4,1,yes,Job Event,FullTime
37,no,Travel_Rarely,Research & Development,10,Male,3,2,MD,2,Single,4197,2,yes,12,3,0,18,2,1,0,1,Graduation,2020,,Work Accident,OFFICE,3,3,no,Job Event,FullTime
40,no,Travel_Rarely,Research & Development,2,Female,2,2,LT,3,Married,3448,6,no,22,4,1,20,3,1,0,0,Graduation,2020,,Salary,WFH,5,1,no,Recruiter,Contract
38,no,Travel_Frequently,Research & Development,2,Male,3,1,LT,4,Married,1702,1,yes,23,4,1,1,3,1,0,0,12th,2020,,Salary,WFH,5,2,no,Recruiter,FullTime
19,yes,Travel_Rarely,Human Resources,2,Male,2,1,HR,4,Single,2564,1,no,12,3,0,1,3,1,0,0,Post-Graduation,2020,,Work Accident,WFH,0,0,yes,Walk-in,FullTime
57,no,Travel_Rarely,Sales,29,Male,2,4,Mngr,4,Divorced,14118,3,no,12,3,1,32,3,1,0,0,Post-Graduation,2020,,Work Accident,WFH,2,3,no,Walk-in,Contract
54,no,Travel_Rarely,Research & Development,8,Female,3,2,LT,3,Single,3780,7,no,11,3,0,19,3,1,0,0,Graduation,2020,,Better Opportunity,WFH,0,3,no,Job Event,FullTime
31,yes,Travel_Frequently,Research & Development,20,Male,3,3,HCR,3,Married,9824,3,no,12,3,0,12,2,1,0,0,Graduation,2020,,Salary,WFH,4,0,yes,Job Portal,FullTime
40,no,Non-Travel,Sales,28,Male,1,3,SE,1,Divorced,10932,3,no,15,3,1,20,2,1,0,1,PHD,2020,,Dept.Head,WFH,3,3,no,Walk-in,FullTime
26,yes,Travel_Rarely,Research & Development,24,Male,1,1,LT,4,Single,2340,1,yes,18,3,0,1,3,1,0,0,12th,2020,,Salary,WFH,2,2,no,Job Portal,Contract
38,no,Travel_Rarely,Research & Development,10,Female,3,2,HCR,3,Married,9824,3,no,19,3,1,18,4,1,0,0,12th,2020,,Salary,WFH,0,3,no,Walk-in,Contract
24,no,Travel_Rarely,Research & Development,17,Male,2,1,LT,2,Married,2127,1,no,21,4,1,1,2,1,0,0,PHD,2020,,Work Accident,OFFICE,5,3,yes,Job Portal,FullTime
30,yes,Travel_Frequently,Sales,12,Male,2,1,SRep,1,Married,2033,1,no,18,3,1,1,2,1,0,0,Graduation,2020,,Salary,WFH,4,3,yes,Job Event,Contract
20,no,Travel_Rarely,Research & Development,1,Female,2,1,RS,2,Single,2836,1,no,13,3,0,1,0,1,0,0,12th,2020,,Salary,WFH,0,2,no,Job Portal,Part Time
43,no,Travel_Rarely,Research & Development,6,Male,2,4,RD,4,Divorced,16627,4,yes,14,3,1,21,3,1,0,0,12th,2020,,Dept.Head,WFH,4,3,no,Job Event,Contract
30,no,Travel_Frequently,Research & Development,3,Female,3,1,RS,3,Divorced,2083,1,no,20,4,1,1,2,1,0,0,Graduation,2020,,Work Environment,WFH,4,0,yes,Walk-in,FullTime
45,yes,Travel_Frequently,Sales,26,Female,3,2,SE,1,Married,4286,2,no,14,3,2,5,4,1,0,0,Post-Graduation,2020,,Dept.Head,OFFICE,0,3,yes,Job Portal,Contract
20,yes,Travel_Rarely,Research & Development,10,Male,3,1,RS,3,Single,1009,1,yes,11,3,0,1,5,1,1,1,Graduation,2020,,Salary,OFFICE,1,3,no,Job Portal,FullTime
35,no,Non-Travel,Research & Development,3,Male,2,1,LT,3,Married,1281,1,no,18,3,2,1,3,1,0,0,Graduation,2020,,Salary,WFH,0,1,yes,Job Event,FullTime
37,no,Travel_Rarely,Research & Development,10,Male,4,1,RS,4,Single,4680,3,no,17,3,0,4,2,1,0,0,Graduation,2020,,Work Accident,WFH,5,3,yes,Recruiter,FullTime
38,no,Travel_Rarely,Research & Development,1,Female,3,3,MD,3,Single,7861,4,yes,14,3,0,10,4,1,0,0,Post-Graduation,2020,,Better Opportunity,OFFICE,4,2,no,Job Event,Contract
29,no,Travel_Rarely,Sales,10,Male,3,1,SRep,3,Single,2642,1,no,11,3,0,1,6,1,0,0,12th,2020,,Salary,WFH,5,2,no,Job Event,Contract
35,no,Non-Travel,Research & Development,2,Female,3,2,HCR,1,Divorced,5093,2,no,11,3,1,16,2,1,0,0,Post-Graduation,2020,,Work Accident,WFH,0,0,no,Walk-in,Part Time
38,no,Travel_Rarely,Research & Development,2,Male,3,1,RS,3,Married,3057,6,yes,13,3,1,6,0,1,0,1,Post-Graduation,2020,,Better Opportunity,OFFICE,1,0,no,Walk-in,FullTime
24,no,Non-Travel,Research & Development,9,Male,2,1,LT,2,Divorced,2694,1,no,11,3,3,1,4,1,0,0,Graduation,2020,,Work Environment,OFFICE,3,2,no,Job Event,Part Time
29,yes,Travel_Rarely,Research & Development,1,Female,2,1,LT,1,Married,2319,1,yes,11,3,1,1,1,1,0,0,Post-Graduation,2020,,Salary,OFFICE,3,1,no,Walk-in,Part Time
40,no,Travel_Frequently,Research & Development,16,Male,2,2,LT,3,Single,5094,6,no,14,3,0,10,6,1,0,0,12th,2020,,Dept.Head,OFFICE,2,2,yes,Recruiter,Part Time
45,no,Travel_Rarely,Research & Development,2,Female,2,1,RS,3,Single,2274,1,no,14,3,0,1,3,1,0,0,Post-Graduation,2020,,Dept.Head,OFFICE,4,3,yes,Walk-in,Contract
37,no,Travel_Rarely,Sales,16,Male,2,2,SE,3,Divorced,6334,4,no,19,3,2,9,2,1,0,0,12th,2020,,Work Accident,OFFICE,0,0,no,Walk-in,Part Time
32,yes,Travel_Rarely,Research & Development,25,Male,3,1,LT,4,Single,2795,1,yes,24,4,0,1,2,1,0,1,12th,2020,,Work Accident,WFH,2,1,yes,Job Portal,Part Time
58,yes,Travel_Frequently,Research & Development,2,Male,2,1,LT,4,Divorced,2380,9,yes,14,3,1,3,3,1,0,0,PHD,2020,,Better Opportunity,OFFICE,0,2,yes,Recruiter,Contract
43,no,Travel_Rarely,Research & Development,8,Female,3,2,MD,2,Divorced,4765,4,no,21,4,1,4,2,1,0,0,Post-Graduation,2020,,Better Opportunity,OFFICE,3,3,no,Job Portal,FullTime
21,yes,Travel_Rarely,Research & Development,18,Female,3,1,RS,4,Single,2693,1,no,19,3,0,1,3,1,0,0,Post-Graduation,2020,,Work Environment,WFH,4,0,no,Walk-in,Part Time
27,no,Travel_Rarely,Research & Development,4,Female,3,1,RS,3,Single,2318,1,no,19,3,0,1,2,1,0,0,12th,2020,,Better Opportunity,OFFICE,4,3,yes,Job Portal,FullTime
34,no,Travel_Rarely,Research & Development,10,Male,3,1,LT,2,Divorced,2008,1,no,14,3,2,1,3,1,1,0,12th,2020,,Dept.Head,WFH,4,1,no,Walk-in,FullTime
25,yes,Travel_Rarely,Sales,19,Male,2,1,SRep,2,Married,2413,1,yes,18,3,3,1,2,1,0,0,Post-Graduation,2020,,Work Accident,WFH,5,3,yes,Walk-in,FullTime
40,no,Travel_Rarely,Sales,10,Male,2,3,SE,2,Divorced,9705,2,no,12,3,1,11,2,1,0,0,Post-Graduation,2020,,Dept.Head,OFFICE,4,2,no,Job Event,FullTime
19,yes,Travel_Rarely,Sales,21,Male,2,1,SRep,2,Single,2121,1,yes,13,3,0,1,3,1,0,0,PHD,2020,,Work Environment,OFFICE,2,0,no,Recruiter,Contract
20,yes,Travel_Rarely,Research & Development,4,Male,3,1,LT,1,Single,2973,1,no,19,3,0,1,2,1,0,0,Graduation,2020,,Salary,OFFICE,0,1,yes,Job Event,Contract
40,no,Travel_Frequently,Research & Development,9,Male,3,1,RS,2,Divorced,3617,8,yes,14,3,1,3,2,1,0,0,Graduation,2020,,Work Environment,WFH,2,0,no,Recruiter,Contract
58,yes,Travel_Rarely,Research & Development,2,Male,3,1,RS,3,Single,2479,4,no,24,4,0,7,4,1,0,0,Graduation,2020,,Work Accident,WFH,4,2,yes,Walk-in,Contract
40,yes,Non-Travel,Sales,24,Female,4,4,SE,2,Single,13194,4,yes,16,3,0,22,2,1,0,0,Graduation,2020,,Dept.Head,OFFICE,4,3,yes,Recruiter,FullTime
20,yes,Travel_Rarely,Research & Development,11,Female,2,1,RS,1,Single,2600,1,yes,15,3,0,1,2,1,0,0,Graduation,2020,,Better Opportunity,OFFICE,0,2,yes,Job Portal,FullTime
42,no,Travel_Rarely,Sales,5,Male,3,5,Mngr,3,Married,18303,6,no,13,3,0,21,3,1,0,0,Graduation,2020,,Work Environment,WFH,4,2,no,Job Event,Part Time
50,no,Travel_Rarely,Research & Development,9,Male,3,1,LT,4,Married,2380,4,no,18,3,0,8,5,1,0,0,Graduation,2020,,Salary,WFH,3,0,no,Walk-in,FullTime
37,yes,Travel_Rarely,Research & Development,11,Female,1,2,HCR,2,Married,4777,5,no,15,3,0,15,2,1,0,0,Post-Graduation,2020,,Better Opportunity,OFFICE,2,0,no,Recruiter,FullTime
38,no,Travel_Rarely,Sales,3,Male,3,2,SE,4,Single,6861,8,yes,12,3,0,19,1,1,0,0,PHD,2020,,Dept.Head,WFH,1,1,no,Recruiter,Contract
36,yes,Travel_Rarely,Research & Development,15,Male,3,2,LT,3,Divorced,4834,7,no,14,3,1,9,3,1,0,0,Graduation,2020,,Work Environment,OFFICE,4,2,yes,Walk-in,FullTime
34,no,Travel_Rarely,Sales,10,Female,3,1,SRep,3,Married,2220,1,yes,19,3,1,1,2,1,0,0,Post-Graduation,2020,,Salary,OFFICE,0,3,yes,Job Event,FullTime
